,app_name,user_id,user_name,date,country,version,score,topic,review,url,review_id,category_final,sentiment_final,req_final
52505,Facebook,246193109,Help is herr,2017-06-21 0:00:00,United States,97,1,Notifications not showing up,"The notification badges are showing up on my iPhone 6 Plus but when I open app there not there. This has happened since last update. 
Also quit interrupting videos with stupid ads. Annoying.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=246193109,53163,requirement,neutral,functional
53247,Facebook,43034279,javamdnss,2017-06-16 0:00:00,United States,97,1,Hate it!,"Why do they make changes we don't need? Now there is no option to see just ""recent posts""! Looks like I'm going to have to delete the phone app. Way to lose people FB.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=43034279,53905,other,very negative,
47018,Facebook,496978255,,2017-05-27 0:00:00,Hong Kong,94,1,Useless function n poor experience,"Story is useless n annoying to user. 
Can't show the new feed n always showing advertisements  related to football gambling. 
Comments had been selectedðŸ‘ŽðŸ»",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=496978255,47401,other,negative,
41850,Facebook,139595037,Gilbertiggy,2017-05-26 0:00:00,United Kingdom,94,1,To many updates!,This app is always having an update for something can they never get it right!i see stuff from the day I'm on then suddenly stuff from a week ado it needs to be in time order not having stuff pop up from days before,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=139595037,42233,requirement,negative,functional
41683,Facebook,180832062,Princess Lou 24,2017-06-01 0:00:00,United Kingdom,94,1,Photo albums,"Just spent an hour trying to upload photos and would only work if I was uploading 10-15 at a time. 
It's silly how it comes up as loads of posts every time you add photos to an album when you can only add a few at a time as you have to sit uploading loads separately. Please sort it",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=180832062,42066,requirement,negative,non-functional
53032,Facebook,103003196,jgrc3138,2017-06-17 0:00:00,United States,97,1,Notifications don't show,"With the newest update, when I click on my notifications my new ones don't show up. Got on my computer to check and I had 35 new notifications. Fix please!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=103003196,53690,bug report,neutral,
41876,Facebook,431056076,Denzo_31,2017-05-26 0:00:00,United Kingdom,94,1,Update update update,Absolute garbage what a waste of an app im still seeing posts from 2 weeks ago the apps slow and broke dunno what you have done but its a mess sort the peace of S**t out not to mention the memory it uses absolute waste of time dont download this app!!!!!ðŸ½ï¿½,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=431056076,42259,other,very negative,
41546,Facebook,31035846,Ell123,2017-06-07 0:00:00,United Kingdom,95,1,Photo upload completely broken,Completely useless when trying to upload 40 photos. Freezes on the screen after camera roll selection. Freezes even when doing 5-photo increments.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=31035846,41929,requirement,negative,non-functional
52925,Facebook,413830176,TrishaMae69,2017-06-18 0:00:00,United States,97,1,I want the colored background on my posts!,"I want to know WHY I still do not have this?? If everyone can't have it at the same time; no one should have it! Be FAIR Facebook ðŸ˜¡ðŸ˜¡
Give me the colors and you will get all 5 stars rating!!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=413830176,53583,other,negative,
53088,Facebook,180879730,Gcliff10,2017-06-16 0:00:00,United States,68,1,Crashes every time.,Fix your stupid app so I can open a page without the app crashing.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=180879730,53746,bug report,negative,
51561,Facebook,30157881,Hugo2.0,2017-06-29 0:00:00,United States,98,1,Losing interest,"Losing patience and tolerance for FB!  Not sure why FB has to dictate which Status Updates/posts I can see, in what order etc. The News Feed is now some random selection of posts.  The Most Recent feed is worthless and doesn't show all or most recent posts of my connections.  I now have to view the News Feed and then Most Recent and hope I see everything, but continue to miss posts from friends etc.

But of course merchant ads and suggested posts are readily available in the News Feed.  I see 2-3 random posts then an ad; 2-3 more posts and another ad!!!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=30157881,52074,requirement,very negative,non-functional
51605,Facebook,314740525,mosesjeep,2017-06-29 0:00:00,United States,98,1,Total garbage now,"Can't even reload app without wifi to many bugs now ,notifications are a joke go back 3yrs worked fine",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=314740525,52122,bug report,negative,
58216,Facebook,530795877,Sasquatch6565,2017-05-11 0:00:00,United States,91,1,Updates,Quit updating it every three days. You've made it worse with each update.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=530795877,58874,requirement,negative,non-functional
54275,Facebook,423498033,JennLocuson,2017-06-06 0:00:00,United States,95,1,Can't view my albums,"Since the new update a few days ago. I can't view my albums. I take lots of pictures. And now I can't upload them from under the album section!!! Please fix this. I saw I am not the only one with this new problem.

Also I can't get to any old photos if none of my albums are coming up!!! If I want a picture from an album from 2011 I now can't just go under the album and get it",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=423498033,54933,bug report,neutral,
39125,Facebook,407814985,Kesjs,2017-05-12 0:00:00,Australia,84,1,User unfriendly,"Every update slashes the level of user friendliness. I'm not a merchant, why does Facebook prioritise its shop platform over its messaging platform, now in a tiny square on the top corner which hides when scrolled? Excellent.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=407814985,39424,requirement,negative,functional
52468,Facebook,180632722,yannie123456,2017-06-21 0:00:00,United States,97,1,HELP!,Since the update I can't play video on Facebook using my data. This is the message I get 'Unable to play video. Check your internet connection and try again.' I have four bars with LTE coverage.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=180632722,53126,bug report,neutral,
55950,Facebook,556486090,downssamithh,2017-05-25 0:00:00,United States,94,1,Swipe swipe swipe,"Ughhhh I dont not want to be seeing my face when I accidentally swipe right! Facebook is no longer original , stop being Snapchat!",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=556486090,56608,requirement,negative,functional
440,Facebook,203381251,Bandagefairy,2017-06-07 0:00:00,Canada,95,1,Sucks,"Hate it. It jumbled my newsfeed and I never get all my stuff now. These updates are getting worse every time. Also can't post pictures sometimes, it freezes.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=203381251,585,bug report,negative,
58706,Facebook,155383513,Joe2682,2017-05-05 0:00:00,United States,90,1,Ad over videos,"Updates are junk.  Too large, too many. Every video there is an ad in the middle.  Facebook is getting greedy. I have to pay for ads when I'm using my LTE.  I'm considering just shutting down my account.  I can look up random videos elsewhere. As for friends, I'm using a phone so I can just call them if I want to talk.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=155383513,59364,requirement,very negative,non-functional
56213,Facebook,481598650,SMoss90,2017-05-23 0:00:00,United States,93,1,Hate the new update!,Stop trying to be Snap Chat. It's annoying. I'm so sick of accidentally swiping to that stupid camera you guys have now. ðŸ½ðŸ If I could give negative amount of stars I would. Seriously think I want to uninstall it.,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=481598650,56871,requirement,very negative,functional
42060,Facebook,234394066,Lozzylou28,2017-05-19 0:00:00,United Kingdom,93,1,Do an new update,I think you need to do a new update as mine is not working properly now,https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=234394066,42443,bug report,neutral,
53346,Facebook,22074019,Mr. Eyequeue,2017-06-15 0:00:00,United States,96,1,Battery drain!,"Uses way too much battery, and dumb notifications from things I don't care about.
Update: the little red number of notifications on the app icon is always more than the actual number of notifications when I open the app and look.",https://itunes.apple.com/WebObjects/MZStore.woa/wa/viewUsersUserReviews?userProfileId=22074019,54004,requirement,neutral,functional
